Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0015071962939368353    4206                     3.3801588606527195       4.037376186828628        0.12550363295900197      1.1146785037339004       0                        0                        0.999951075              0.05                     0.09997184047162101      0.21440647893274825      0.01                     0.38640547953546045      2.5e-06                  0.5598958333333333       -10.333695               5.7302866                
200                      0.23087495479318831      866158                   9.933444850947113        15.596574560732726       0.12487706630810264      1.2350628328610767       0                        0                        0.9891764249999999       0.049999999999999996     0.09395957906743624      0.002845179912583262     0.01                     0.26807223819196224      2.5e-06                  0.144775390625           -0.02513217              0.7776171                
400                      0.4640411212046941       1733539                  10.095989525765035       24.50815718686221        0.14308370110117544      1.2449649846185815       0                        0                        0.9783341625             0.05                     0.0882745284394592       0.003744705000826798     0.01                     0.2686153497779742       2.5e-06                  0.184326171875           0.13169591               0.7763339                
600                      0.69556804464923         2600730                  11.92709420128634        33.70537018796507        0.14308370110117544      1.2449649846185815       0                        0                        0.967494275              0.05                     0.08293458723147343      0.0034853025135817006    0.01                     0.26464650593698025      2.5e-06                  0.23681640625            -0.008167882             0.71367896               
800                      0.9272277646594578       3466608                  11.752163899942328       40.417002504697194       0.14308370110117544      1.2449649846185815       0                        0                        0.9566708                0.05                     0.07792503392125054      0.002748041579252458     0.01                     0.2624559869291261       2.5e-06                  0.212158203125           0.049968135              0.7644468                
1000                     1.1590629592206743       4327941                  11.790897451182303       43.09867829815391        0.14308370110117544      1.2449649846185815       0                        0                        0.9459041375             0.05                     0.07324202509340821      0.0021198599233684945    0.01                     0.263126784353517        2.5e-06                  0.199951171875           -0.012266064             0.7351616                
1200                     1.3911353910631603       5180384                  12.486346866444944       54.230646463511974       0.14308370110117544      1.2449649846185815       0                        0                        0.9352486                0.05                     0.06888449834786758      0.0023818750498776353    0.01                     0.26196798554155976      2.5e-06                  0.1591796875             0.005950723              0.5123926                
1400                     1.621841929157575        6018296                  12.155684980302667       59.36248653357198        0.14308370110117544      1.2449649846185815       0                        0                        0.9247747000000001       0.05                     0.06485399742762829      0.001475159398978576     0.01                     0.2749955153558403       2.5e-06                  0.162841796875           0.02707737               0.55958307               
1600                     1.8584835172361798       6874451                  13.533362021299572       79.9444709749757         0.14308370110117544      1.2449649846185815       0                        0                        0.9140729624999999       0.049999999999999996     0.06097929601108602      0.00143506042604713      0.01                     0.26401579251978546      2.5e-06                  0.171630859375           0.11288711               0.55455923               
1800                     2.092910265988774        7717292                  13.355253320048261       74.9842262417637         0.14308370110117544      1.2449649846185815       0                        0                        0.90353745               0.05                     0.05739097791742279      0.0024402641865890473    0.01                     0.2632450124947354       2.5e-06                  0.14794921875            0.08859714               0.66609675               
2000                     2.328465903467602        8558318                  14.247797531887565       262.1848097947897        0.14308370110117544      1.2449649846185815       0                        0                        0.893024825              0.05                     0.05402093074209938      0.001522997272786597     0.01                     0.2679686895571649       2.5e-06                  0.162841796875           -0.015099702             0.49237216               
2200                     2.5655725316206612       9403282                  15.417883914606898       240.62337626645305       0.14308370110117544      1.2449649846185815       0                        0                        0.8824610749999999       0.05                     0.050833813061448824     0.0015484544624086993    0.01                     0.2744177847635001       2.5e-06                  0.158203125              -0.06106931              0.6508673                
2400                     2.8000961812999514       10253008                 17.321889483958874       280.46610329823704       0.14308370110117544      1.2449649846185815       0                        0                        0.8718397                0.05                     0.04781886348626784      0.0016283459794976807    0.01                     0.2671537994174287       2.5e-06                  0.177001953125           -0.0785209               0.49987903               
2600                     3.0394389671087265       11103074                 18.701009438102083       279.6136420091324        0.14308370110117544      1.2449649846185815       0                        0                        0.861214075              0.05                     0.04498162985288283      0.0025267041974075255    0.01                     0.2562316703842953       2.5e-06                  0.172607421875           -0.01592                 0.49757212               
2800                     3.2810629192988077       11952849                 20.71987687793193        255.21178546243556       0.14308370110117544      1.2449649846185815       0                        0                        0.8505921875             0.05                     0.04231364798404528      0.0031297814874800254    0.01                     0.258861376410898        2.5e-06                  0.12063419117647059      -0.0017846088            0.7957333                
3000                     3.531435751054022        12804303                 23.25383393577082        294.53505024549486       0.14308370110117544      1.2449649846185815       0                        0                        0.8399493125             0.05                     0.039799102750768        0.003891349327204807     0.01                     0.26192112418357283      2.5e-06                  0.1826171875             -0.3911075               1.2182753                
3200                     3.783546872470114        13657298                 26.605962545615697       313.6447024952363        0.14308370110117544      1.2449649846185815       0                        0                        0.829287375              0.05                     0.03742988023521652      0.002527480919311261     0.01                     0.25346418360576906      2.5e-06                  0.17440257352941174      0.03291199               0.7071676                
3400                     4.0374480060074065       14505839                 30.257138194921133       273.9700185150993        0.14308370110117544      1.2449649846185815       0                        0                        0.8186811125             0.05                     0.035212980097406185     0.002022977045699543     0.01                     0.2632731749292682       2.5e-06                  0.14200367647058826      -0.11640461              0.5493005                
3600                     4.292688524855508        15350769                 33.24011553278771        281.71625166702745       0.14308370110117544      1.2449649846185815       0                        0                        0.8081195                0.05                     0.033135898404989324     0.004904107195216056     0.01                     0.2571562983794138       2.5e-06                  0.13916015625            0.19806494               0.57053804               
3800                     4.546155175235536        16193381                 41.78198208568152        284.8599454402008        0.14308370110117544      1.2449649846185815       0                        0                        0.79758755               0.05                     0.031186660676463807     0.0037397438778391328    0.01                     0.25754245228188877      2.5e-06                  0.15602022058823528      -0.37037116              1.1273597                
4000                     4.802168853018019        17042282                 46.94925522332855        285.59926024771454       0.14308370110117544      1.2449649846185815       0                        0                        0.786973075              0.05                     0.02933814748672488      0.0037366294563980773    0.01                     0.2605571626302074       2.5e-06                  0.21714154411764708      -0.0026162262            1.1028179                
4200                     5.058357440365685        17888310                 48.73123696099186        289.0640769550869        0.14308370110117544      1.2449649846185815       0                        0                        0.7764025999999999       0.05                     0.02760619173554769      0.005595915997218981     0.01                     0.258821816300042        2.5e-06                  0.183349609375           0.23564468               0.6143766                
4400                     5.315597512722015        18734772                 60.30158211404397        319.1950465993164        0.14308370110117544      1.2449649846185815       0                        0                        0.7658237999999999       0.05                     0.025975235876612608     0.0038542987474809503    0.01                     0.25581770048787195      2.5e-06                  0.1773003472222222       0.11892488               0.6262811                
4600                     5.575613593326675        19585259                 71.18600873751201        310.9898359628952        0.14308370110117544      1.2449649846185815       0                        0                        0.7551879749999999       0.049999999999999996     0.024432614207069065     0.004710055034593097     0.01                     0.26523953187279403      2.5e-06                  0.18310546875            -0.21541315              0.91650623               
4800                     5.835548221932517        20439245                 77.93730381715436        319.7378456281807        0.14308370110117544      1.2449649846185815       0                        0                        0.7445194125000001       0.05                     0.022977275486124833     0.004444530006569241     0.01                     0.26286964811798597      2.5e-06                  0.18489583333333334      0.04787176               0.777481                 
5000                     6.086859153310458        21291424                 96.73627828099825        421.3658323201812        0.14308370110117544      1.2449649846185815       0                        0                        0.7338703000000001       0.05                     0.021611044121273515     0.004072912722040201     0.01                     0.2504451829008758       2.5e-06                  0.1775390625             0.37862945               0.5391755                
5200                     6.335133464601305        22143858                 96.13246613870069        393.06724517792304       0.14308370110117544      1.2449649846185815       0                        0                        0.7232130999999999       0.05                     0.020325102760698273     0.004965500328883839     0.01                     0.2785524761097299       2.5e-06                  0.1851128472222222       -0.3141306               1.2916948                
5400                     6.595849205785328        22999293                 123.52028281477486       418.92262223919187       0.14308370110117544      1.2449649846185815       0                        0                        0.712515325              0.05                     0.019111215624574133     0.005129834023297435     0.01                     0.2626414324211724       2.5e-06                  0.16084558823529413      0.18571413               0.757701                 
5600                     6.862996207674344        23861646                 139.16404599212026       352.40070895922855       0.14308370110117544      1.2449649846185815       0                        0                        0.701749125              0.05                     0.017962749459801617     0.004894393065785009     0.01                     0.2574437608648288       2.5e-06                  0.19058388157894735      0.030514222              1.0233049                
5800                     7.128944627245267        24727465                 168.9761754784848        367.77084015155083       0.14308370110117544      1.2449649846185815       0                        0                        0.6909291875             0.05                     0.01687807718997399      0.003250235626875933     0.01                     0.2504921346193268       2.5e-06                  0.18210565476190477      0.30969697               0.60981375               
6000                     7.46005569908354         25591416                 189.8516895052098        544.8224257587251        0.14308370110117544      1.2449649846185815       0                        0                        0.6801329                0.05                     0.015861061533956593     0.003451569221094057     0.01                     0.26603580002362526      2.5e-06                  0.19905598958333331      0.29096842               0.6795493                
