Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.001579137643178304     4443                     4.372984129562186        4.283714629194543        0.15617283238284815      1.1285607724457305       0                        0                        0.9999514625             0.05                     0.09997206347198713      0.2271899164043134       0.01                     0.27853149772272445      2.5e-06                  0.553955078125           -11.399962               4.674846                 
200                      0.18637675636344486      867515                   8.554995531744769        10.435888957221948       0.09559359475234597      1.2393563129654008       0                        0                        0.98916295               0.05                     0.09395229106196347      0.0022214839576490167    0.01                     0.21809989805607233      2.5e-06                  0.07169117647058824      -0.033901256             0.660267                 
400                      0.3671130629380544       1733900                  10.488849260769577       18.458486255369685       0.11305131022832787      1.2507578795867722       0                        0                        0.97833305               0.05                     0.08827396312546992      0.0037855630382637173    0.01                     0.22048580607224721      2.5e-06                  0.118896484375           -0.014793702             0.97098863               
600                      0.5453018721606996       2601360                  10.768665697864396       23.52501279026643        0.11305131022832787      1.2507578795867722       0                        0                        0.9674898                0.05                     0.08293245084986393      0.0036969170973861765    0.01                     0.2057634127122583       2.5e-06                  0.122802734375           0.46058473               0.8171964                
800                      0.7272084989812639       3467589                  10.572948887094142       24.65319525579867        0.11305131022832787      1.2507578795867722       0                        0                        0.9566619375000001       0.05000000000000001      0.0779210585483994       0.004132748686970444     0.01                     0.2155340123717906       2.5e-06                  0.1396484375             0.18723783               0.6476845                
1000                     0.9100122949812147       4329671                  11.394585632760426       30.077069776452213       0.11305131022832787      1.2507578795867722       0                        0                        0.9458859125             0.05                     0.07323434156330619      0.003676833089457432     0.01                     0.19799300545128062      2.5e-06                  0.146728515625           0.10752059               0.7331996                
1200                     1.0884610987371868       5183352                  11.463287564967768       34.15306582269152        0.11305131022832787      1.2507578795867722       0                        0                        0.9352149                0.05                     0.06887113654765234      0.003629530043781415     0.01                     0.21334449772257358      2.5e-06                  0.12646484375            0.19833605               0.5880139                
1400                     1.2675837540626527       6034334                  11.722704340815323       32.4219960203497         0.11305131022832787      1.2507578795867722       0                        0                        0.9245776250000001       0.05000000000000001      0.06478046521029375      0.003416394485498131     0.01                     0.20004600709944498      2.5e-06                  0.123291015625           0.2566388                0.6432343                
1600                     1.458251461452908        6910849                  12.544851936539041       34.07788752615202        0.11305131022832787      1.2507578795867722       0                        0                        0.9136215875             0.05                     0.06082105774754054      0.004217781041234048     0.01                     0.21093277033651248      2.5e-06                  0.1494140625             0.009267122              0.66838455               
1800                     1.642782899207539        7788476                  13.109456242220432       42.73167054093442        0.11305131022832787      1.2507578795867722       0                        0                        0.9026516375             0.05                     0.05709907775830671      0.004302325686320033     0.01                     0.21536646820330885      2.5e-06                  0.15349264705882354      0.22228506               0.8132706                
