Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0011862368716133965    4345                     4.807456374647002        4.827427819072966        0.089241687903427        0.9913164342349684       0                        0                        0.9999524625             0.05                     0.0999726389591012       0.06930481314520875      0.01                     0.5322180516668595       2.5e-06                  0.630126953125           -4.72711                 4.0518107                
200                      0.22400789439678193      871757                   11.123338780666746       21.713324419595967       0.07192870203377912      0.8274014825613726       0                        0                        0.9891098375             0.05                     0.09392357046731648      0.0033432892266773706    0.01                     0.2878376332228072       2.5e-06                  0.1181640625             -0.096114084             0.67349076               
400                      0.4414557809962167       1744877                  11.224496078814967       25.698467928040408       0.07827630481782834      0.8255165418130527       0                        0                        0.9781958375             0.05                     0.08820426670155648      0.0036529073436213366    0.01                     0.2911903460044414       2.5e-06                  0.143310546875           0.10005685               0.7463819                
600                      0.6563060442606609       2617997                  11.556642812921755       32.53425911373063        0.07827630481782834      0.8255165418130527       0                        0                        0.9672818375000001       0.05000000000000001      0.08283322946146503      0.0024134808249982598    0.01                     0.2927113592159003       2.5e-06                  0.088623046875           0.045310594              0.74282724               
800                      0.873299598760075        3492477                  11.245847919620484       31.579818044844114       0.07827630481782834      0.8255165418130527       0                        0                        0.9563508374999999       0.05                     0.07778163962163023      0.0027918084988414194    0.01                     0.28432587714632973      2.5e-06                  0.153076171875           0.14606585               0.4483366                
1000                     1.090112852719095        4372125                  12.475605436184047       32.06782888481844        0.07827630481782834      0.8255165418130527       0                        0                        0.9453552375000001       0.05                     0.07301096586030364      0.0027320135844774995    0.01                     0.29428686550818384      2.5e-06                  0.19091796875            -0.12123005              0.7572651                
1200                     1.3078022946251764       5258028                  12.659319925864331       33.5000397296475         0.07827630481782834      0.8255165418130527       0                        0                        0.9342814500000001       0.05000000000000001      0.0685020589225609       0.002277662984397466     0.01                     0.29417649580864236      2.5e-06                  0.146240234375           0.19403836               0.48862657               
1400                     1.5259487377272711       6136031                  13.249935751261235       36.86939740677927        0.07827630481782834      0.8255165418130527       0                        0                        0.9233064125             0.05                     0.06430815224442121      0.0030547989350679927    0.01                     0.2885144783067517       2.5e-06                  0.1728515625             -0.45932695              1.530153                 
1600                     1.7404728237787883       7018780                  14.350401613911382       41.00818461134833        0.07827630481782834      0.8255165418130527       0                        0                        0.9122722249999999       0.05                     0.060350456914791004     0.004275507633337838     0.01                     0.2906813183799386       2.5e-06                  0.1708984375             0.08817283               0.46775746               
1800                     1.9524059977796342       7910260                  15.261637435185126       44.81274868183846        0.07827630481782834      0.8255165418130527       0                        0                        0.9011255499999999       0.05                     0.056599666862379334     0.003263291459575157     0.01                     0.2689247894450091       2.5e-06                  0.17822265625            0.10786496               0.41135508               
2000                     2.1600666932927237       8783069                  16.064635774277793       55.53239281435132        0.07827630481782834      0.8255165418130527       0                        0                        0.8902196375             0.05                     0.05315560845588088      0.002599833669164047     0.01                     0.28751968296573444      2.5e-06                  0.21507352941176472      -0.090050325             0.59735656               
2200                     2.3713424930969875       9662580                  17.132864875062136       84.49032896722878        0.07827630481782834      0.8255165418130527       0                        0                        0.87922615               0.05                     0.04989595909430412      0.005481939049786888     0.01                     0.26988635075223794      2.5e-06                  0.1263786764705882       -0.0071513946            0.73466367               
